"from","to","row_number()","label","note.x","strength","trust","sensitivity","specificity","statement_id","quote","attribution","combo.type","definition.type","package","packageNote","fun","N","arrows.middle.enabled","chain_id","domain","attributionValence","attributionExplicit","arrows.to","wstrength","text","code","source_id","female","note.y","domain attributed hh","q","qid","respondent","smooth.type","smooth.roundness","smooth.enabled","frequency","auto_group_key","auto_group","width"
1,2,1,"",NA,0.5,0.5,NA,NA,"1","There are more mental health and housing isssues. Although these are not areas we deal with, it makes it difficult to get on with education and training (which is what we do), when these needs are over riding. ",NA,"","",NA,NA,"",NA,FALSE,NA,"",NA,NA,TRUE,0.25,"Our service provision hasnt changed - there is some shift in who we work with, but the numbers are about the same. Demand has changed a bit relating to identifying additional needs in our students. There are more mental health and housing isssues. Although these are not areas we deal with, it makes it difficult to get on with education and training (which is what we do), when these needs are over riding. One student was referred to us by the Job Centre for a dyslexic support course. The training she did was really successful, but the student wasnt going to school due to a history of drug abuse. In practise shes not being helped with this, and therefore she cant rpogress with her learning. Another student was referred by MENCAP, and was doing well with his English and Maths. However he sometimes misses a week due to ill health, and once he needed to be hospitalised. It amounts to a creeping up of additional needs which interrupt learning. Were supposed to help students make decisions about their future, but this is difficult in such circumstances.",NA,NA,NA,NA,"Service delivery","Have the services that you provide as an organisation changed over the last two years, and if so how and why?a) Have you seen more or less demand for your services? Why?b) Have the needs of your clients changed at all? c) If you so how have you responded to that?","B1","CS26","continuous",0,TRUE,1,"1",1,3
3,4,2,"",NA,0.5,0.5,NA,NA,"2","We sold our previous building premises and took advice from Voscur. Jenny Wildblood was very helpful and worked with our senior staff and volunteers on how to invest money for the future. ",NA,"","",NA,NA,"",NA,FALSE,NA,"",NA,NA,TRUE,0.25,"We sold our previous building premises and took advice from Voscur. Jenny Wildblood was very helpful and worked with our senior staff and volunteers on how to invest money for the future. We appointed a new worker as a rsult who is tasked with making our organisation more sustainable. In Jan/Feb 2019, T2, a national organisation for youth employment and training unexpectedly closed its study programme, leaving young people on their books who no longer had a provider. We negotiated with the council to inherit their students, with the council giving us money to tide them through their exams. Its important for us to be active in networks as nearly all our referrals come from other organisations, notably Creative Network and 1625 Independent People. We used to get referrals from LPW but not anymore. Also, notably, this year weve had no school referrals. Weve also made links with Catch 22, who now offer on-going support to our young people who need support to move onto the next stage of education and training.",NA,NA,NA,NA,"Service delivery","Has there been any change in partnerships or collaborations between your organisation and other similar organisations in the area/nationally? If so why are you working in collaboration and what impact do you think this has on your clients?","B2","CS26","continuous",0,TRUE,1,"2",1,3
4,5,3,"",NA,0.5,0.5,NA,NA,"2","We sold our previous building premises and took advice from Voscur. Jenny Wildblood was very helpful and worked with our senior staff and volunteers on how to invest money for the future. We appointed a new worker as a rsult who is tasked with making our organisation more sustainable",NA,"","",NA,NA,"",NA,FALSE,NA,"",NA,NA,TRUE,0.25,"We sold our previous building premises and took advice from Voscur. Jenny Wildblood was very helpful and worked with our senior staff and volunteers on how to invest money for the future. We appointed a new worker as a rsult who is tasked with making our organisation more sustainable. In Jan/Feb 2019, T2, a national organisation for youth employment and training unexpectedly closed its study programme, leaving young people on their books who no longer had a provider. We negotiated with the council to inherit their students, with the council giving us money to tide them through their exams. Its important for us to be active in networks as nearly all our referrals come from other organisations, notably Creative Network and 1625 Independent People. We used to get referrals from LPW but not anymore. Also, notably, this year weve had no school referrals. Weve also made links with Catch 22, who now offer on-going support to our young people who need support to move onto the next stage of education and training.",NA,NA,NA,NA,"Service delivery","Has there been any change in partnerships or collaborations between your organisation and other similar organisations in the area/nationally? If so why are you working in collaboration and what impact do you think this has on your clients?","B2","CS26","continuous",0,TRUE,1,"2",1,3
5,6,4,"",NA,0.5,0.5,NA,NA,"2","Voscur. Jenny Wildblood was very helpful and worked with our senior staff and volunteers on how to invest money for the future. We appointed a new worker as a rsult who is tasked with making our organisation more sustainable.",NA,"","",NA,NA,"",NA,FALSE,NA,"",NA,NA,TRUE,0.25,"We sold our previous building premises and took advice from Voscur. Jenny Wildblood was very helpful and worked with our senior staff and volunteers on how to invest money for the future. We appointed a new worker as a rsult who is tasked with making our organisation more sustainable. In Jan/Feb 2019, T2, a national organisation for youth employment and training unexpectedly closed its study programme, leaving young people on their books who no longer had a provider. We negotiated with the council to inherit their students, with the council giving us money to tide them through their exams. Its important for us to be active in networks as nearly all our referrals come from other organisations, notably Creative Network and 1625 Independent People. We used to get referrals from LPW but not anymore. Also, notably, this year weve had no school referrals. Weve also made links with Catch 22, who now offer on-going support to our young people who need support to move onto the next stage of education and training.",NA,NA,NA,NA,"Service delivery","Has there been any change in partnerships or collaborations between your organisation and other similar organisations in the area/nationally? If so why are you working in collaboration and what impact do you think this has on your clients?","B2","CS26","continuous",0,TRUE,1,"2",1,3
8,11,5,"",NA,0.5,0.5,NA,NA,"2","In Jan/Feb 2019, T2, a national organisation for youth employment and training unexpectedly closed its study programme, leaving young people on their books who no longer had a provider. We negotiated with the council to inherit their students, with the council giving us money to tide them through their exams.",NA,"","",NA,NA,"",NA,FALSE,NA,"",NA,NA,TRUE,0.25,"We sold our previous building premises and took advice from Voscur. Jenny Wildblood was very helpful and worked with our senior staff and volunteers on how to invest money for the future. We appointed a new worker as a rsult who is tasked with making our organisation more sustainable. In Jan/Feb 2019, T2, a national organisation for youth employment and training unexpectedly closed its study programme, leaving young people on their books who no longer had a provider. We negotiated with the council to inherit their students, with the council giving us money to tide them through their exams. Its important for us to be active in networks as nearly all our referrals come from other organisations, notably Creative Network and 1625 Independent People. We used to get referrals from LPW but not anymore. Also, notably, this year weve had no school referrals. Weve also made links with Catch 22, who now offer on-going support to our young people who need support to move onto the next stage of education and training.",NA,NA,NA,NA,"Service delivery","Has there been any change in partnerships or collaborations between your organisation and other similar organisations in the area/nationally? If so why are you working in collaboration and what impact do you think this has on your clients?","B2","CS26","continuous",0,TRUE,1,"2",1,3
9,10,6,"",NA,0.5,0.5,NA,NA,"2","Its important for us to be active in networks as nearly all our referrals come from other organisations, notably Creative Network and 1625 Independent People. ",NA,"","",NA,NA,"",NA,FALSE,NA,"",NA,NA,TRUE,0.25,"We sold our previous building premises and took advice from Voscur. Jenny Wildblood was very helpful and worked with our senior staff and volunteers on how to invest money for the future. We appointed a new worker as a rsult who is tasked with making our organisation more sustainable. In Jan/Feb 2019, T2, a national organisation for youth employment and training unexpectedly closed its study programme, leaving young people on their books who no longer had a provider. We negotiated with the council to inherit their students, with the council giving us money to tide them through their exams. Its important for us to be active in networks as nearly all our referrals come from other organisations, notably Creative Network and 1625 Independent People. We used to get referrals from LPW but not anymore. Also, notably, this year weve had no school referrals. Weve also made links with Catch 22, who now offer on-going support to our young people who need support to move onto the next stage of education and training.",NA,NA,NA,NA,"Service delivery","Has there been any change in partnerships or collaborations between your organisation and other similar organisations in the area/nationally? If so why are you working in collaboration and what impact do you think this has on your clients?","B2","CS26","continuous",0,TRUE,1,"2",1,3
10,11,7,"",NA,0.5,0.5,NA,NA,"2","Its important for us to be active in networks as nearly all our referrals come from other organisations, notably Creative Network and 1625 Independent People.",NA,"","",NA,NA,"",NA,FALSE,NA,"",NA,NA,TRUE,0.25,"We sold our previous building premises and took advice from Voscur. Jenny Wildblood was very helpful and worked with our senior staff and volunteers on how to invest money for the future. We appointed a new worker as a rsult who is tasked with making our organisation more sustainable. In Jan/Feb 2019, T2, a national organisation for youth employment and training unexpectedly closed its study programme, leaving young people on their books who no longer had a provider. We negotiated with the council to inherit their students, with the council giving us money to tide them through their exams. Its important for us to be active in networks as nearly all our referrals come from other organisations, notably Creative Network and 1625 Independent People. We used to get referrals from LPW but not anymore. Also, notably, this year weve had no school referrals. Weve also made links with Catch 22, who now offer on-going support to our young people who need support to move onto the next stage of education and training.",NA,NA,NA,NA,"Service delivery","Has there been any change in partnerships or collaborations between your organisation and other similar organisations in the area/nationally? If so why are you working in collaboration and what impact do you think this has on your clients?","B2","CS26","continuous",0,TRUE,1,"2",1,3
9,55,8,"",NA,0.5,0.5,NA,NA,"2","Weve also made links with Catch 22, who now offer on-going support to our young people who need support to move onto the next stage of education and training.",NA,"","",NA,NA,"",NA,FALSE,NA,"",NA,NA,TRUE,0.25,"We sold our previous building premises and took advice from Voscur. Jenny Wildblood was very helpful and worked with our senior staff and volunteers on how to invest money for the future. We appointed a new worker as a rsult who is tasked with making our organisation more sustainable. In Jan/Feb 2019, T2, a national organisation for youth employment and training unexpectedly closed its study programme, leaving young people on their books who no longer had a provider. We negotiated with the council to inherit their students, with the council giving us money to tide them through their exams. Its important for us to be active in networks as nearly all our referrals come from other organisations, notably Creative Network and 1625 Independent People. We used to get referrals from LPW but not anymore. Also, notably, this year weve had no school referrals. Weve also made links with Catch 22, who now offer on-going support to our young people who need support to move onto the next stage of education and training.",NA,NA,NA,NA,"Service delivery","Has there been any change in partnerships or collaborations between your organisation and other similar organisations in the area/nationally? If so why are you working in collaboration and what impact do you think this has on your clients?","B2","CS26","continuous",0,TRUE,1,"2",1,3
13,3,9,"",NA,0.5,0.5,NA,NA,"3","The support we received from Voscur in 2017 was very helpful. Our initial approach was a low key enquiry asking for us to be put in touch with similar organisations in Bristol. ",NA,"","",NA,NA,"",NA,FALSE,NA,"",NA,NA,TRUE,0.25,"The support we received from Voscur in 2017 was very helpful. Our initial approach was a low key enquiry asking for us to be put in touch with similar organisations in Bristol. Voscur (Mark) helped us identify that we didnt in fact have any capacity to do networking, and suggested a follow-up free Voscur consultancy on business planning. This led to us making an organisational investment in a new worker and a new board member. It was easy to find the support when we knew it was there (in terms of the consultancy) but we wouldnt have thought of looking for it. Its helped us strengthen our strategic capacity, and we hope in the long-term its made us more sustainable.",NA,NA,NA,NA,"Access to support services","What have been the most significant challenges your organisation has faced over the two years? a) Did you seek help to resolve these challenges from external people or organisations?b) If so, what sort of support - in which areas?c) How easy was it to find support?d) If you found the right support, where from?What impact did this have on your organisation and your clients?e) If you didn’t find the right support, what impact did this have on your organisation and your clients?","D1","CS26","continuous",0,TRUE,1,"3",1,3
3,14,10,"",NA,0.5,0.5,NA,NA,"3","Voscur (Mark) helped us identify that we didnt in fact have any capacity to do networking",NA,"","",NA,NA,"",NA,FALSE,NA,"",NA,NA,TRUE,0.25,"The support we received from Voscur in 2017 was very helpful. Our initial approach was a low key enquiry asking for us to be put in touch with similar organisations in Bristol. Voscur (Mark) helped us identify that we didnt in fact have any capacity to do networking, and suggested a follow-up free Voscur consultancy on business planning. This led to us making an organisational investment in a new worker and a new board member. It was easy to find the support when we knew it was there (in terms of the consultancy) but we wouldnt have thought of looking for it. Its helped us strengthen our strategic capacity, and we hope in the long-term its made us more sustainable.",NA,NA,NA,NA,"Access to support services","What have been the most significant challenges your organisation has faced over the two years? a) Did you seek help to resolve these challenges from external people or organisations?b) If so, what sort of support - in which areas?c) How easy was it to find support?d) If you found the right support, where from?What impact did this have on your organisation and your clients?e) If you didn’t find the right support, what impact did this have on your organisation and your clients?","D1","CS26","continuous",0,TRUE,1,"3",1,3
