"text","source_id","statement_id"
"My younger daughter is suffering from a skin infection since three months ago. Rashes in her skin are evident and she is itching it. Despite her sickness, the health condition of my family has been well. Thanks to God she is sick but she is still alive. We care greatly for our hygiene and sanitation. We manage to keep food and water clean. There were people like you who came here and taught us how to keep our food and water clean. There is potable water in our community and we drink from it.","B1",1
"In the past three years, farming activity wasn't as productive as it used to be before. We work hard but the gain is very minimal and much less compared to what we invest. I don't know whether it is due to the climate change or the problem with the soil but the land isn't giving sufficient product. There is nothing new I started to produce, I produce what I used to produce three years ago. I have also tried to produce vegetables and fruits as per the training I got from an organization (I don't remember its name). The problem is the fruits and vegetable don't grow in dry season and it dries if there isn't enough water, so I stopped producing it. I eat different local foods and it is relatively good.","C1",2
"I engaged in petty trading of farm products. The petty trade helps me to substantiate my income so that I may buy goods needed for my household. I don't have any other income source other than petty trading activity.","D1",3
"The cost of living and increasing expenditure for purchasing food weakens our capacity and income.","E4",4
"Important link to Send a Cow - Received highyield variety crops like potato","I1a",5
"I do my best to keep my family in good health. I clean my house to keep sanitation and I also prepare food though I'm weak. I'm feeling sick and weak; I had an operation and the operation 'reduced' my blood. Despite that I pray to my God and I try my best to keep my health. One of my children who completed his education is living in another kebele and he isn't helping me. I face financial stresses for I have to cover all the costs of my household. We have to buy drinking water from somewhere else. Both of my children have dropped out from school to look for income source to supplement our meagre income. So they are now engaged in trading.","B1",6
"The farming activity is good though it is bad this year for the whole community. The main problem with the farming is that the soil in our locality is swampy. We mainly produce teff though sometimes we produce maize. The problem with production is, it is easily taken by water since the land is swampy. I also produce cabbage and melon and the income from it is very helpful for me as I don't have a milked cow now. Other vegetables don't grow in our locality since the soil is swampy. The government agents, particularly kebele principals, gave support through distributing vegetables and fruits for planting. But we tried it and it couldn't grow in our locality but it was good for people in other kebeles. I have cattle but my two sons own oxen and two cows. One of the cows used to give us milk but now we are no more getting it. We eat well since we can purchase from market.","C1",7
"Though the income we get from farming is bad in this year it was better in the past years and there was improvement. The heavy rain resulted in flood which washed away our crops. Despite that, it has been a good harvest year in past years.","C3",8
"The trading activity is relatively better and my sons are doing well with it. They engaged in trading activity alongside the farming. You can see over there that they have ploughed the land waiting for the rain. The land will stay idle if the rain doesn't come on time.","D1",9
"We can now buy the foods from the market. My sons help with this since they are engaged in trading activity. [The trading activity is relatively better and my sons are doing well with it.]","D4",10
"In previous times everything was cheap and we could afford it with the cheap price. But now everything becomes expensive. The price of food items like maize, bean or any other crop is very expensive. So we spend much of our money on purchasing food stuffs. Whether it is flour of maize or sweet potato, any mother will buy it depending on her household size. Sometimes we have to go to the garden when we don't have cash to buy the food stuffs we want. Sometimes I have also to pay the loan my sons took from other people. My sons save in 'Shufuwa' (local association) with purpose of buying their cloth, cattle and to cover 'Masqala' (annual festival of celebrating new year). I have borrowed money for celebrating 'Masqala' festivity and I have paid back for some and I will pay other's too in near future.","E1",11
"Thanks to God, everything is fine. The government helped us to access health services like drugs, injection, chemical net, and other services that helped us to be healthy. We also take our children to health centres early if they feel sick. In the past three years we have learned to build toilets around our house and to wash our hands every time we use the toilet. We also keep our hygiene, as well as our children's hygiene, by washing clothes. Regarding drinking water, we can collect it from the kebele water source which was built by an NGO. My children attend school regularly and attentively. I also visit their teachers to know their performance at school and help them in their home study.","B1",12
"The farming has been very good and I was productive in the past three years. For example I produce about 10 quintals of teff per plot of land and I have benefited a lot from it. I also have grown maize, beans, oats and have benefited a lot. I have also got support from government through 'send organization'. I have started growing vegetables like cabbage, carrot, potato, beetroots and have benefited a lot. Send organization also gave me sheep and that helped me a lot in my life. They have also provided me with materials used for farming activity that helped me a lot to enhance my productivity. I was able to build a new house with the increased income. I have changed my life as well as my family's one. We eat well and eat different kinds of food. We consume teff, sweet potato, maize, yum and other products by purchasing as well as producing it.","C1",13
"The increased production of teff and maize, with increased price, helped us to get better income. We have also prepared the land to grow sweet potato since its yield is also significant. So improved production helped us to get better benefits.","C3",14
"We used inset for hunger season in previous times. But now we store foods like maize ahead of the coming of hungry season which starts from 5th month of the year. So producing surplus and storing food helped us to eat better during hungry season.","C5",15
"Improved farming activity that led to improved production.","C7",16
"I used to engage in petty trading in previous times. But later I started teff farming and also fattening ox to sell it for a better price. My wife is also engaged in trading activity and our income is now improving. We plan to go to urban centre to build a house and live there.","D1",17
"The increased farming activity helped me to get better income which further enhanced my trading activity. So trading is helping me to augment my income.","D4",18
"I have bought cattle like oxen, sheep and chickens. This has helped me a lot to improve my livelihood. I have cattle which I have shared (shared rearing) with other people. My diligence, with the help I got from Send organization, helped me to augment my income and to buy those assets.","E2",19
"In past three years I have learned a lot from send organization. The organization equipped us with life skills on how to work effectively, how to save money and other skills. They have also gave us seeds which helped us a lot. Their advice helped me to change my life to better.","E4",20
"I have received support from the government as well as send organization. I feel that I can further improve my life by working hard so that I will reach where other people have reached.","H2",21
"Important link to Send a Cow  - Through livelihood supports I get from it I have improved my life","I1a",22
