statement_id,key,value
1,Household code,KAF-8
2,Name of kebele,Kuto Sorfela
3,Name of interviewer,Muluken Tamirat
4,Date of interview,01/04/2019
5,Start time of interview  (hh:mm),03:00
6,End time of interview (hh:mm),03:14
7,Duration of interview (in minutes),14
8,Please can you tell me who currently belongs to your household?,NA
9,What is the age of the main respondent?,22
10,What is the education of the main respondent?,None
11,What is the household size (residents > 6months)?,5
12,How many under 18's in the household?,0
13,How many under 16's in full time education in the household?,0
14,Please note down the sex of the head of the household.,Male
15,Does anyone in the household have a chronic illness or disability?,Yes
16,"Overall, how has the income your family earns from farming changed during the past three years?",Improved
17,What is the main reason for any change?,"The price of crops nowadays is good. For example, if someone produces teff, he will get a significant amount of money. The newly introduced 'Bereket Boyna' (local yum) is also highyielding and can be sold for good price."
18,Over the past three years do you think that the amount of food that your household eats during the hungry season has…,Increased
19,What is the main reason for any change?,Now we have crops like 'Bereket Boyna' (Local yum) as well as Inset (false banana) to eat for hungry season. In previous times we used to suffer from hunger.
20,"Overall, during this period do you think that the quality and/or variety of food that your household eats during the hungry season has…",Improved
21,What is the main reason for any change?,Foods are available at better quality. You can also purchase food items from market.
22,Overall how has the amount you earn as cash or in kind income as a household changed over this time?,Increased
23,"Overall, how do you feel your household’s ability to control/choose the way your household earns income has changed?",Better
24,What is the main reason for any change?,Now there are opportunities to work as a daily labourer. People are interested to engage in diversified income sources. They can augment their income since there are more opportunities than before.
25,"Please tell me how what you spend money on as a household has changed during the last three years, if at all.",Much of the money goes towards purchasing food. We also have to pay for water since we started to use potable drinking water. September is the month when we have to spend a lot of money related to festivals. I didn't start saving since I don't have extra money left over after covering all my costs. There is no one from my family who borrowed money from other people.
26,"Please tell me about any significant purchases you have made for possessions, or investments you have made for improvements to your property or land in the past three years?",There is no such significant purchase I made so far.
27,"Overall, how has what you as a household can purchase with money changed over the period?",Decreased
28,"Please tell me how relationships within your household have changed in the past three years, if at all.","I discuss with my husband any issue pertinent to our household. For instance, if I have to sell part of our assets I will first discuss with him and get his consent and he will also do the same with me. We jointly decide everything after we've discussed it together."
29,Overall how do you feel that relationships within your household have changed…,Better
30,What is the main reason for any change?,We have understood that working together and discussing with each other is very helpful to overcome any challenge. We have also experienced it in our life.
31,"Please tell me how your relationships with others living in this community have changed during the period, if at all.",I have good relationship with the community. We work together in issues concerning us and help each other in emergencies.
32,Do you feel that there has been any change in the way people in the community work together?,I didn't see such change in the way people work together since almost all people are concerned with their own life.
33,Overall how do you feel that community relations and decision-making have changed over the past three years?,Better
34,What is the main reason for any change?,People nowadays discuss on common issues and work together. What we see now is better as compared to previous times.
35,"If we consider wellbeing as including your physical, emotional, mental and spiritual health, overall, taking all things into account, how do you think the wellbeing of your household has changed during the past three years?",Better
36,Please explain your answer. Are there specific things you can think of that have happened to improve/reduce your feeling of wellbeing during the period?,What I have now at my disposal is good and better than previous times. So I feel that I'm in a good condition.
37,"How hopeful are you for the future, do you feel your wellbeing will improve?","I feel that things will be improved in due course of time. I will work hard with rearing cattle and producing crops which will augment my income. With the help of God, I feel that I will improve my life for the better."
