,label,cluster
1,"Demand changed - <U+2B06> mental health
and housing",NA
2,<U+2B07> time for core services,NA
3,took advice from Voscur,NA
4,"<U+2B06> understanding of investing for
future",NA
5,staff capacity,staff capacity
6,"(implied) <U+2B06> sustainability for
org",NA
7,new clients,NA
8,negotiations with council,NA
9,active in networks,NA
10,<U+2B06> known by other orgs/people,NA
11,"<U+2B06> clients, <U+2B06> work",NA
12,<U+2B07> referrals from other orgs,NA
13,wanted to improve networking,NA
14,identified networking weakness,NA
15,free training from voscur,NA
16,"<U+2B06> knowledge about possibilities
for consultancy & improvement,
training",NA
17,<U+2B06> strategic capacity,NA
18,"new secondary services staff
member",NA
19,<U+2B06> capacity,NA
20,council training,NA
21,<U+2B06> non-teaching skills,NA
22,grant requirements,NA
23,"online training in safeguarding
etc",NA
24,ability to engage in influencing,NA
25,internal informal training,NA
26,<U+2B06> internal systems,NA
27,staff have non-teaching capacity,NA
28,<U+2B06> social isolation,NA
29,<U+2B06> mental health issues,NA
30,<U+2B06> demand for services,NA
31,no increase in resources,NA
32,<U+2B06> pressure on service delivery,NA
33,climate crisis awareness,NA
34,<U+2B07> capacity in local council,NA
35,"<U+2B07> willlingness of local council
to cooperate",NA
36,"work with complimentary not
competing organisations",NA
37,<U+2B06> referrals and reach,NA
38,pro-bono support,NA
39,<U+2B06> strategic funding model,NA
40,"direct approach from pro-bono
support",NA
41,"<U+2B06> strategic capacity in trustees/
directors/governance/board",NA
42,<U+2B06> support for staff/management,NA
43,<U+2B07> capacity to influence,NA
44,<U+2B07> influencing,NA
45,<U+2B06> other influencing voices,NA
46,"previous disappointing experience
in influencing",NA
47,<U+2B07> motivation to influence,NA
48,social media presence,NA
49,<U+2B06> reach,NA
50,national requirements,NA
51,staff get professional training,NA
52,financial pressure,NA
53,<U+2B06> support for our clients,NA
54,part-time staff,NA
55,staff motivated to get trained,NA
56,conduct cascade training,NA
57,staff get professional training,NA
58,<U+2B06> staff / staff hours,NA
59,service users become volunteers,NA
60,fewer staff for specific tasks,NA
61,conduct survey,NA
62,<U+2B06> knowledge of client needs,NA
63,support from other orgs / council,NA
64,time / capacity constraint,NA
65,received financial support,NA
66,not savvy about capital injection,NA
67,<U+2B07> able to initiate new programmes,NA
68,<U+2B06> number of volunteers,NA
69,<U+2B06> need for training,NA
70,<U+2B06> interest in volunteering,NA
71,(c) decrease in volunteer numbers,NA
72,<U+2B06> client needs,NA
73,<U+2B07> capacity of other orgs,NA
74,<U+2B06> external referrals,NA
75,<U+2B06> external referrals,NA
76,"expectation to work with private
sector",NA
77,"<U+2B06> attempts to work with private
sector",NA
78,"volunteers provide technical
support",NA
79,changed staff / Director,NA
80,<U+2B06> work on evidence base,NA
81,"perceived lack of right
opportunity to engage",NA
82,"limited influence and media
exposure",NA
83,staff get new skills,NA
84,new approach to volunteers,NA
85,<U+2B06> content skills in volunteers,NA
86,changing political/social issues,NA
87,"changing content of service
delivery",NA
88,"<U+2B06> international <U+2B07> local
networking",NA
89,joined national network,NA
90,<U+2B06> visibility amongst peers,NA
91,lack of funding,NA
92,missed opportunity to network,NA
93,"training users to be <U+2B06>
independent",NA
94,"(implied) <U+2B06> sustainability for
org",NA
95,<U+2B07> clients,NA
96,other training,NA
97,<U+2B07> support for clients,NA
98,<U+2B06> internal systems,NA
99,<U+2B06> income,NA
100,<U+2B06> funding,NA
101,collaborative approach,NA
102,sustainable outcomes,NA
103,offering complementary expertise,NA
104,general support from Voscur,NA
105,<U+2B06> professionalisation,NA
106,<U+2B06> status of / interest in org,NA
107,<U+2B06> positioning of org,NA
108,<U+2B06> staff training,NA
109,<U+2B06> size of org,NA
110,<U+2B07> demand for services,NA
111,changed profile to <U+2B06> fit needs,NA
112,"better synergy between levels 3
and 4",NA
113,better strategic capacity,NA
114,better community engagement,NA
115,"staff training in backoffice
skills",NA
116,better backoffice capacity,NA
117,cost of training,NA
118,training not implemented,NA
119,"building fundraising into all
staff roles",NA
120,"increased staff fundraising
skills",NA
121,"training for trustees/directors/
governance/board",NA
122,people retiring later,NA
123,<U+2B07> volunteers,NA
124,younger volunteers,NA
125,volunteers have limited time,NA
