from,to,label,strength,trust,sensitivity,specificity,statement,quote,source,question,domain,attribution,full.quote,combo.type,definition.type,package,packageNote,fun
1,100,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,100,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,102,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,68,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,68,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,120,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,68,NA,NA,NA,NA,NA,5,"We have to buy everything for survival may be these days we can spend money on good clothing and meat products. But otherwise I do not think much has changed so not sure. [For driver see answer to E1: We, all family member go to labour work. Especially we go to work in construction site.]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,104,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,104,NA,NA,NA,NA,NA,6,"Beside that we used to farm vegetables, wheat and paddy for own consumption but now we have left agriculture because husband and son go for the labour work, one son is in abroad and one son and daughter in law is busy on their shop so we now have left agriculture because of less man power...[see answer to C5: As we have left agriculture there is no production these days.]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,104,NA,NA,NA,NA,NA,6,"Beside that we used to farm vegetables, wheat and paddy for own consumption but now we have left agriculture because husband and son go for the labour work, one son is in abroad and one son and daughter in law is busy on their shop so we now have left agriculture because of less man power...[see answer to C5: As we have left agriculture there is no production these days.]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,104,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,104,NA,NA,NA,NA,NA,8,See answer to C2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,66,NA,NA,NA,NA,NA,9,We give pig dietary food and also waste food of our house with vitamins for weight gain [see answer to D3 and D5],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,104,NA,NA,NA,NA,NA,9,we have lack of man power to look after pigs we have reduced the number of pigs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,67,NA,NA,NA,NA,NA,9,we have lack of man power to look after pigs we have reduced the number of pigs but the income has increased as the price of meat compared to past five year have increased.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,104,NA,NA,NA,NA,NA,10,My husband goes to labour work...and other son also works as a labour. We stop agriculture because of lack of manpower. Previously we did farming on sharecropping basis but this work is changed. Now we are involved in other income generating work.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,104,NA,NA,NA,NA,NA,10,One son has gone to abroad...We stop agriculture because of lack of manpower. Previously we did farming on sharecropping basis but this work is changed. Now we are involved in other income generating work.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,104,NA,NA,NA,NA,NA,10,Daughter in law and son has got a shop ...We stop agriculture because of lack of manpower. Previously we did farming on sharecropping basis but this work is changed. Now we are involved in other income generating work.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,68,NA,NA,NA,NA,NA,10,My husband goes to labour work...and other son also works as a labour. We stop agriculture because of lack of manpower. Previously we did farming on sharecropping basis but this work is changed. Now we are involved in other income generating work. [For increased income see answer to E3],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,69,NA,NA,NA,NA,NA,10,One son has gone to abroad...We stop agriculture because of lack of manpower. Previously we did farming on sharecropping basis but this work is changed. Now we are involved in other income generating work.  [For increased income see answer to E3],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,74,NA,NA,NA,NA,NA,10,Daughter in law and son has got a shop ...We stop agriculture because of lack of manpower. Previously we did farming on sharecropping basis but this work is changed. Now we are involved in other income generating work. [For increased income see answer to E3],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,74,NA,NA,NA,NA,NA,11,My one son has opened a grocery shop...that�s why we can say that the income from non farming and non agricultural work has been increased.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,69,NA,NA,NA,NA,NA,11,Another son sends remittance...that�s why we can say that the income from non farming and non agricultural work has been increased.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,68,NA,NA,NA,NA,NA,11,husband goes to labour work and other son also works as a labour so we have left agriculture work that�s why we can say that the income from non farming and non agricultural work has been increased.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,109,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,110,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,114,NA,NA,NA,NA,NA,13,Also my elder son have recently build a house so we don�t have any saving or any other extra spending.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,74,NA,NA,NA,NA,NA,14,"From my elder sons earning we have built a house. [For driver see answer to E4: My one son has opened a grocery shop. Another son sends remittance, husband goes to labour work and other son also works as a labour so we have left agriculture work that�s why we can say that the income from non farming and non agricultural work has been increased.]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,69,NA,NA,NA,NA,NA,14,"From my elder sons earning we have built a house. [For driver see answer to E4: My one son has opened a grocery shop. Another son sends remittance, husband goes to labour work and other son also works as a labour so we have left agriculture work that�s why we can say that the income from non farming and non agricultural work has been increased.]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,68,NA,NA,NA,NA,NA,14,"From my elder sons earning we have built a house. [For driver see answer to E4: My one son has opened a grocery shop. Another son sends remittance, husband goes to labour work and other son also works as a labour so we have left agriculture work that�s why we can say that the income from non farming and non agricultural work has been increased.]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
