from,to,label,strength,trust,sensitivity,specificity,statement,quote,full.quote,combo.type,definition.type,N
1,31,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,9
2,31,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,7
3,31,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2
4,31,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,5
5,31,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1
6,31,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,1
7,31,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,1
8,31,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,1
9,31,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,1
10,16,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,3
11,16,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,70
12,16,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,3
13,16,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,1
14,16,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,2
15,19,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,33
10,19,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,11
11,19,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,3
16,19,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,10
2,19,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,1
17,19,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,6
18,19,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,1
15,33,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,38
10,33,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,1
11,33,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,1
16,33,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,14
2,33,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,5
10,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,8
16,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
19,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,29
20,2,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1
1,2,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,7
4,2,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,6
21,2,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,3
22,2,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,1
23,2,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,1
11,1,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,1
24,1,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,9
25,1,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,6
3,1,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,7
4,1,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,2
26,1,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,10
22,1,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,2
23,1,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,3
27,1,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,1
28,1,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,3
5,1,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,2
29,1,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,1
30,1,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,1
15,53,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,21
10,53,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,9
16,53,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,2
31,53,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,6
19,53,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4
2,53,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3
32,53,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1
15,87,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2
16,87,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,19
31,87,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,2
19,87,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,1
3,87,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,4
26,87,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,2
32,87,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,3
33,87,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,1
34,87,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,1
35,41,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,26
36,41,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,6
15,88,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,4
10,88,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,1
31,88,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,12
19,88,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,2
20,88,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,5
33,88,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,3
37,88,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,2
38,88,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,1
39,88,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,1
40,88,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,1
31,89,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,5
41,89,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,1
42,89,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,20
34,89,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
43,89,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2
44,89,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1
45,89,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1
46,89,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,1
15,90,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,1
31,90,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,27
1,90,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,2
47,90,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,1
35,42,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,2
41,42,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,27
48,42,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,1
15,91,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,1
31,91,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,22
36,91,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,1
49,91,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,3
6,91,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,2
15,62,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,23
10,62,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,2
16,62,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,1
50,62,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,1
15,32,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,9
16,32,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,10
19,32,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,1
2,32,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,1
18,32,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
51,32,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
15,37,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,17
10,37,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2
16,37,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,2
24,26,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,19
25,26,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,1
15,3,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,3
10,3,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,2
24,3,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,6
25,3,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,5
22,3,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,1
27,3,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,2
52,3,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,1
24,25,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,18
24,4,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,10
25,4,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,2
22,4,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,1
23,4,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,3
52,4,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,1
10,5,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,1
16,5,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,1
25,5,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,3
22,5,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,2
53,5,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,9
27,5,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,1
24,22,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,15
54,22,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
19,65,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2
53,65,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1
55,65,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,10
32,65,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,2
20,66,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,13
56,66,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,1
11,18,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,4
17,18,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,7
57,18,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,1
58,92,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,6
59,92,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,3
60,92,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,1
15,30,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,1
10,30,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,2
20,30,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,2
57,30,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,3
52,30,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,1
61,30,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,1
16,51,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,8
32,51,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,2
10,93,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,1
24,93,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,6
23,93,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,1
25,9,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,1
3,9,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2
22,9,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,5
