from,to,label,strength,trust,sensitivity,specificity,statement,quote,full.quote,combo.type,definition.type,N,package,packageNote
1,31,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,9,NA,NA
2,31,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,7,NA,NA
3,31,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA
4,31,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA
5,31,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,NA,NA
6,31,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,1,NA,NA
7,31,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,1,NA,NA
8,31,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,1,NA,NA
9,31,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,1,NA,NA
10,16,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,3,NA,NA
11,16,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,70,NA,NA
12,16,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,3,NA,NA
13,16,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,1,NA,NA
14,16,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,2,NA,NA
15,19,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,33,NA,NA
10,19,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,11,NA,NA
11,19,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,3,NA,NA
16,19,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,10,NA,NA
2,19,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,1,NA,NA
17,19,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,6,NA,NA
18,19,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,1,NA,NA
15,33,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,38,NA,NA
10,33,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,1,NA,NA
11,33,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,1,NA,NA
16,33,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,14,NA,NA
2,33,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,5,NA,NA
10,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,8,NA,NA
16,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA
19,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,29,NA,NA
20,2,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA
1,2,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,7,NA,NA
4,2,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,6,NA,NA
21,2,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,3,NA,NA
22,2,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,1,NA,NA
23,2,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,1,NA,NA
11,1,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,1,NA,NA
24,1,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,9,NA,NA
25,1,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,6,NA,NA
3,1,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,7,NA,NA
4,1,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,2,NA,NA
26,1,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,10,NA,NA
22,1,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,2,NA,NA
23,1,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,3,NA,NA
27,1,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,1,NA,NA
28,1,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,3,NA,NA
5,1,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,2,NA,NA
29,1,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,1,NA,NA
30,1,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,1,NA,NA
15,53,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,21,NA,NA
10,53,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,9,NA,NA
16,53,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,2,NA,NA
31,53,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,6,NA,NA
19,53,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA
2,53,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA
32,53,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA
15,87,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA
16,87,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,19,NA,NA
31,87,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,2,NA,NA
19,87,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,1,NA,NA
3,87,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,4,NA,NA
26,87,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,2,NA,NA
32,87,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,3,NA,NA
33,87,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,1,NA,NA
34,87,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,1,NA,NA
35,41,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,26,NA,NA
36,41,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,6,NA,NA
15,88,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,4,NA,NA
10,88,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,1,NA,NA
31,88,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,12,NA,NA
19,88,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,2,NA,NA
20,88,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,5,NA,NA
33,88,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,3,NA,NA
37,88,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,2,NA,NA
38,88,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,1,NA,NA
39,88,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,1,NA,NA
40,88,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,1,NA,NA
31,89,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,5,NA,NA
41,89,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,1,NA,NA
42,89,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,20,NA,NA
34,89,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA
43,89,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA
44,89,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA
45,89,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,NA,NA
46,89,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,1,NA,NA
15,90,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,1,NA,NA
31,90,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,27,NA,NA
1,90,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,2,NA,NA
47,90,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,1,NA,NA
35,42,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,2,NA,NA
41,42,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,27,NA,NA
48,42,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,1,NA,NA
15,91,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,1,NA,NA
31,91,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,22,NA,NA
36,91,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,1,NA,NA
49,91,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,3,NA,NA
6,91,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,2,NA,NA
15,62,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,23,NA,NA
10,62,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,2,NA,NA
16,62,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,1,NA,NA
50,62,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,1,NA,NA
15,32,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,9,NA,NA
16,32,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,10,NA,NA
19,32,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,1,NA,NA
2,32,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,1,NA,NA
18,32,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
51,32,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA
15,37,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,17,NA,NA
10,37,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA
16,37,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,2,NA,NA
24,26,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,19,NA,NA
25,26,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,1,NA,NA
15,3,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,3,NA,NA
10,3,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,2,NA,NA
24,3,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,6,NA,NA
25,3,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,5,NA,NA
22,3,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,1,NA,NA
27,3,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,2,NA,NA
52,3,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,1,NA,NA
24,25,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,18,NA,NA
24,4,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,10,NA,NA
25,4,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,2,NA,NA
22,4,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,1,NA,NA
23,4,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,3,NA,NA
52,4,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,1,NA,NA
10,5,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,1,NA,NA
16,5,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,1,NA,NA
25,5,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,3,NA,NA
22,5,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,2,NA,NA
53,5,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,9,NA,NA
27,5,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,1,NA,NA
24,22,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,15,NA,NA
54,22,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA
19,65,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA
53,65,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA
55,65,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,10,NA,NA
32,65,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,2,NA,NA
20,66,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,13,NA,NA
56,66,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,1,NA,NA
11,18,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,4,NA,NA
17,18,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,7,NA,NA
57,18,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,1,NA,NA
58,92,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,6,NA,NA
59,92,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,3,NA,NA
60,92,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,1,NA,NA
15,30,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,1,NA,NA
10,30,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,2,NA,NA
20,30,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,2,NA,NA
57,30,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,3,NA,NA
52,30,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,1,NA,NA
61,30,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,1,NA,NA
16,51,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,8,NA,NA
32,51,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,2,NA,NA
10,93,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,1,NA,NA
24,93,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,6,NA,NA
23,93,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,1,NA,NA
25,9,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,1,NA,NA
3,9,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA
22,9,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,5,NA,NA
11,57,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,8,NA,NA
15,38,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA
10,38,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,NA,NA
16,38,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,3,NA,NA
10,34,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,1,NA,NA
36,34,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,1,NA,NA
62,34,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,3,NA,NA
63,34,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,1,NA,NA
64,34,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,1,NA,NA
15,94,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA
31,94,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,3,NA,NA
20,94,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,1,NA,NA
65,94,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,1,NA,NA
31,95,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,5,NA,NA
1,95,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,1,NA,NA
10,96,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,4,NA,NA
17,96,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,2,NA,NA
20,97,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,2,NA,NA
66,97,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,3,NA,NA
67,97,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,1,NA,NA
18,98,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,4,NA,NA
68,99,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,2,NA,NA
69,99,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,1,NA,NA
70,99,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,1,NA,NA
71,100,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA
69,100,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA
72,100,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA
42,44,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA
48,44,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA
15,43,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA
36,43,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA
73,43,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA
74,68,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA
75,68,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
56,82,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA
58,60,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
76,60,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
77,60,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
78,101,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA
79,101,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
80,102,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA
10,103,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA
16,103,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA
15,40,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA
36,46,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA
50,46,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA
16,104,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA
81,104,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA
66,67,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA
82,105,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA
66,106,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA
83,106,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA
58,107,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA
84,108,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA
85,109,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA
86,109,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA
