"source","question","text"
"KYM-20","B1","I had gone to Saudi Arabia 3 years ago and returned back 6 months ago due to leg pain."
"KYM-20","C3","We don’t have any land for agriculture so we are not involved in any farming activities. Hence our income is dependent on daily wage labour. I had gone Saudi but I could not earn enough and had to return back due to health issues."
"KYM-20","D6","We need to spend more for food as it is growing fast. So income and expenses are same. The income that we generate from pig is enough for taking care of pigs itself. We are not able to gain their weight as they need to have proper foods which we are unable to provide. This is the reason that we have  not increased the number of pig and the income from pig has also not increased."
"KYM-20","E4","Labour charge has gone up and we are four people to work so it has increased but still price of goods have also increased."
"KYM-20","F3","Income and spending is parallel. We don’t have much income. Also we don’t have land for agriculture. The land that we have is given by government under mukta kamaiya scheme. We have to buy everything for survival may be these days we can spend money on good clothing and meat products. But otherwise I do not think much has changed so not sure."
"KYF-4","C1","We have kept some goats and pigs for income generation. Beside that we used to farm vegetables, wheat and paddy for own consumption but now we have left agriculture because husband and son go for the labour work, one son is in abroad and one son and daughter in law is busy on their shop so we now have left agriculture because of less man power."
"KYF-4","C3","Now a days we are not doing agriculture work as there is lack of man power. My sons have their own work and husband also goes for labour work for earning. We do not have our own land for farming. We did sharecropping previously. Now a days we do not do it."
"KYF-4","C5","As we have left agriculture there is no production these days. We have to buy everything."
"KYF-4","D6","We give pig dietary food and also waste food of our house with vitamins for weight gain but as we have lack of man power to look after pigs we have reduced the number of pigs but the income has increased as the price of meat compared to past five year have increased."
"KYF-4","E1","My husband goes to labour work. One son has gone to abroad. Daughter in law and son has got a shop and other son also works as a labour. We stop agriculture because of lack of manpower. Previously we did farming on sharecropping basis but this work is changed. Now we are involved in other income generating work."
"KYF-4","E4","My one son has opened a grocery shop. Another son sends remittance, husband goes to labour work and other son also works as a labour so we have left agriculture work that’s why we can say that the income from non farming and non agricultural work has been increased."
"KYF-4","F3","We spend more on food and education and also some times need to visit to the doctor for my leg pain, so we need to be very much conscious on what we are spending on. But good thing is that my children are in undergraduate now."
"KYF-4","F5","I don’t know about the control. We only spend on what is most like food, education, clothes, medicines and all the decision is made by my husband as well. Also my elder son have recently build a house so we don’t have any saving or any other extra spending. Decisions are taken by my husband."
"KYF-4","F8","From my elder son's earning we have built a house. We need to spend for education as well as for food thus we are not able to save money and I don’t know if my sons and daughter in law are saving or not. But we  have recently build a house so we don’t have any saving now. So in terms of assets the house is the asset."
"KYF-4","H2","I am experiencing the same situation. May be it will get better after we have some saving once all my kids are out from the college after studying and start working. All our son is getting educated so that is good for me and family."
