label,group,col1,cluster,clusterLabel,value,is_context,level,fun,type,details
council prioritises SLE over other cycling routes,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
Strawberry Line 🍓 is extended,NA,NA,105,NA,0,NA,NA,NA,NA,NA
limited time & money,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
peoples awareness,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
▶ lobbying council,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
Clevedon residents can access station,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
car-free leisure activities for C and Y residents,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
safe cycling routes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
more cycling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fitness, health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wellbeing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
people can stay local,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
more business revenue & prosperity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
reduce carbon footprint,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
extend wildlife corridor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
environmental benefits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
▶ enough people sign up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pressure on council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
people know it is being considered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
problems with motorway crossing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
objections from land owners,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
less traffic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"better connectivity C/Y, cross-fertilisation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
parking problems at end points 😢,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
▶ constructive negotiations with land owners,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
widespread support,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
▶ collaborative problem solving,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
▶ clear project plan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
public & private funding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
upgrading existing paths esp to all parts of Clevedon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
complementary features,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
▶ poor communication,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Further cuts to public sector budgets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reduction of private sector contributions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
▶ chaotic approach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
people want SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
safer walking and running,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
more visitors to N Somerset,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
green commuting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
more bikes in Clevedon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
▶ SLiC activities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
