text,female,older,key3,key4,key5,key6,key7,statement
"When I became a member of INYAS, and then the GYA, I was going through a long and very stressful phase in my career. I was constantly being discriminated against by the Director of my institute and was being refused tenure in spite of my having a better performance than most of the tenured colleagues in my department. This is because I was a woman with an ambition, who refused to bow down and beg before the authorities. Being accepted as a member of the GYA gave me immense confidence boost, as did the successful founding of INYAS. When I attended the GYA AGM and interacted with people all across the globe, I had extremely satisfying discussions that opened up new vistas of thought for me, and helped me to dream bigger. This helped to put the negativities at the institute behind me and look forward. On a different note, my experience at the GYA gave me ideas, sometimes subtle ones, that could be incorporated in the functioning of INYAS. As I got involved with the GYA, I spoke to friends and colleagues in India about it, and promoted the GYA through social media. It is now very satisfying to see the increasing interest in India about the GYA, which is also reflected in the GYA membership. Especially satisfying for me is the fact that in the last two years, two INYAS members have been selected to be members of the GYA.",1,1,NA,NA,NA,NA,NA,1
"When I became a member of INYAS, and then the GYA, I was going through a long and very stressful phase in my career. I was constantly being discriminated against by the Director of my institute and was being refused tenure in spite of my having a better performance than most of the tenured colleagues in my department. This is because I was a woman with an ambition, who refused to bow down and beg before the authorities. Being accepted as a member of the GYA gave me immense confidence boost, as did the successful founding of INYAS. When I attended the GYA AGM and interacted with people all across the globe, I had extremely satisfying discussions that opened up new vistas of thought for me, and helped me to dream bigger. This helped to put the negativities at the institute behind me and look forward. On a different note, my experience at the GYA gave me ideas, sometimes subtle ones, that could be incorporated in the functioning of INYAS. As I got involved with the GYA, I spoke to friends and colleagues in India about it, and promoted the GYA through social media. It is now very satisfying to see the increasing interest in India about the GYA, which is also reflected in the GYA membership. Especially satisfying for me is the fact that in the last two years, two INYAS members have been selected to be members of the GYA.",1,1,NA,NA,NA,NA,NA,2
"From the recent GYA working trip for the INGSA workshop in Tokyo, I have different possitive memories.  However, I would like to share a story when I received the survey from the people in charge of the funding proposal for a GloSYS Latin America. To certain point, filling the form was like a sort of usual formality. But what strikes me, -for good-, is when as a follow up message, Karen Wiemann contacted me asking for my inputs ans ideas on the current status of Latin American young scientific community. She was really eager to know the situation in my region, so I inmediatly thought that it was not ""just a burocratic"" form, so there is actual serious concern on that situation. I found it very stimulating, rewarding, and I truly appreciate this concern!. Vielen dank!...",0,1,NA,NA,NA,NA,NA,3
I received recognition from my University after my admission in the Academy. I received congratulations from our Vice-Chancellor and I appear in the news diary of the university.,0,1,NA,NA,NA,NA,NA,4
GYA gives more cediability to our work as scienitsts and researchers. It provide a space for networking and connecting different researchers from different disciplines,0,0,NA,NA,NA,NA,NA,5
I received recognition from my University after my admission in the Academy. I received congratulations from our Vice-Chancellor and I appear in the news diary of the university.,0,1,NA,NA,NA,NA,NA,6
"Since I became member of the GYA, I got respected in my institution and by colleagues. I was even nominated to be the President of a Network by I refused because as young scientist, I need to change thanks around me. With GYA, I got nominated to participate in a conference in Ghana. I meet colleagues from others countries so I learned how they are organized in their National Young Academy (NYA). When I went back I decided to create a NYA. So I contacted the secretary of the Senior Academy of Science whom is ready to help me and he is helping me to set NYA in my country. As member of the GYA, I got accepted to participate in a workshop in Beijing (China). Here, I met the executive director of the Integrated Research for Disaster Risk (IRDR) who is ready to help me set a create a research center on disaster management.  All those things are happening due to GYA.",0,0,NA,NA,NA,NA,NA,7
"This is the speech I gave at the AGM in Eindhoven, which describes some of my story (at the bottom is a link to a related blogpost as well): 

The Global Young Academy has changed my life. And I don<U+FFFD>t mean the 14,003 emails that passed through my inbox in the past two years as of this morning. Those changed my <U+FFFD>daily<U+FFFD> life. 

No I mean it: the GYA has changed my life, my life course. 

Three weeks ago I was in South-Africa to help with the second edition of the Africa Science Leadership Program. It<U+FFFD>s a program to build leadership capacity in Africa and to shape the science system. The fellows came from around the continent. Angola, Egypt, Kenia, Nigeria, Mauritius. Many of them have big plans. A meteorite scientist from Morocco wants to set up an African Space Agency. You can<U+FFFD>t say that that<U+FFFD>s not a vision. 

It was not the first time I was in South-Africa or with the ASLP, but this time the conversations I had, they caused a whirlwind in my head. They made me realize that I need to change research direction, focus more on big problems such as the current migration crisis and the wellbeing of those people who are on the move. I<U+FFFD>m a psychologist and I work on how people traumatic experiences, especially young people. But I have done that mostly in highly resourced areas. There is still work to do there, but these are marginal improvements in comparison. So I am changing direction.  

My shift in direction is credit to the GYA. This organization does make change happen, starting on a very personal level.

See also this related blogpost: https:--trauma-recovery.net-2016-05-06-a-tornado-in-my-head-  and Tolus article in Nature regarding researchers changing paths. 

Epilogue: in the past few years, an all very much related to the GYA, I have conducted several projects related to the topic of refugees and migration. With the efforts of others, this has culminated in the GYAs mentoring program for refugee scholars (and related activities), a documentary in which the GYA features, an academic symposium on integration of refugees and migrants and a forthcoming interdisciplinary edited volume ""Responsibility for Refugee and Migrant Integration"" with Jan-Christoph Heilinger and Karly Kehoe. In all these activities, scholars with a refugee background have been actively involved and vocal about what they find important.",1,0,NA,NA,NA,NA,NA,8
"GYA has opened up a lot of opportunities for me. These opportunities brought me to many places, and allowed me to experience diverse cultures and connect with varied individuals, but more importantly, gave me an opportunity to learn new things, enrich my skills, discover more of my talents, and think beyond my own research field. Being part of GYA means working in multi-disciplinary, multi-cultural, highly international projects. These enriching experiences would not be possible if I just concentrated on my own research field. This I believe is the most important influence GYA had on my own personal life and career.",0,1,NA,NA,NA,NA,NA,9
"The GYA has impacted immensely on my personal and career development, professional network, capability to impact positively on young scientists, collaborators and my national young academy. In one respect, my professional network has greatly grown with my membership of the GYA with enhanced latitude for collaborative research and engagement. I was recently involved in putting up a proposal for the Africa Centres of Excellence for Development Impact (ACE Impact) Project on behalf of my University. This project involves the participation of regional and international collaborators. It was not difficult getting willing and capable collaborators from Ghana, Mauritius, Senegal and Zimbabwe from my GYA connections. The good news is that the bidding was successful. On another note the GYA has over the years enhanced my skills of mentorship, science communication and diplomacy through training opportunities that have been provided over the years. This has impacted positively on my voluntary support to younger scientists, collaborators and my national young academy, especially when I served as President of the body for 2 years. GYA gatherings were always opportunities to strengthen my ideas and have insights into new ideas which were always brought back home to drive one initiative or the other in my national young academy. Through these motivations, I was able to get a grant from the US Consulate in the commercial nerve centre of my Country to organise a capacity building workshop for young-early career women scientists in my country. My national young academy, with the support of the senior academy, thereafter got an IAP grant to replicate the workshop on a larger scale for young-early career women scientists in West Africa. It turned out to be a very successful event. My involvements in working group activities, the planning and execution of the 2nd Africa Young Academies Regional Conference in Mauritius, the GloSYS Africa Project etc. have greatly sharpened by team work, leadership and collaborative engagement skills. My membership and involvements in the GYA also opened many doors of opportunities for me for personal and professional development.",0,1,NA,NA,NA,NA,NA,10
