from,to,label,strength,trust,sensitivity,specificity,statement,quote,full.quote,combo.type,definition.type,fun
1,2,NA,0.5,0.5,NA,NA,1,NA,Some text,NA,NA,NA
1,3,NA,0.5,0.5,NA,NA,1,NA,Some text,NA,NA,NA
3,5,NA,0.5,0.5,NA,NA,1,NA,Some text,NA,NA,NA
4,5,NA,0.5,0.5,NA,NA,1,NA,Some text,NA,NA,NA
4,3,NA,0.5,0.5,NA,NA,1,NA,Some text,NA,NA,NA
1,4,NA,0.5,0.5,NA,NA,1,NA,Some text,NA,NA,NA
1,2,NA,0.5,0.5,NA,NA,2,NA,Some text,NA,NA,NA
1,2,NA,0.5,0.5,NA,NA,3,NA,Some text,NA,NA,NA
1,2,NA,0.5,0.5,NA,NA,4,NA,Some text,NA,NA,NA
1,2,NA,0.5,0.5,NA,NA,5,NA,Some text,NA,NA,NA
1,2,NA,0.5,0.5,NA,NA,6,NA,Some text,NA,NA,NA
1,2,NA,0.5,0.5,NA,NA,7,NA,Some text,NA,NA,NA
1,2,NA,0.5,0.5,NA,NA,8,NA,Some text,NA,NA,NA
1,3,NA,0.5,0.5,NA,NA,2,NA,Some text,NA,NA,NA
1,3,NA,0.5,0.5,NA,NA,3,NA,Some text,NA,NA,NA
1,3,NA,0.5,0.5,NA,NA,4,NA,Some text,NA,NA,NA
1,3,NA,0.5,0.5,NA,NA,5,NA,Some text,NA,NA,NA
1,3,NA,0.5,0.5,NA,NA,6,NA,Some text,NA,NA,NA
1,3,NA,0.5,0.5,NA,NA,7,NA,Some text,NA,NA,NA
1,3,NA,0.5,0.5,NA,NA,8,NA,Some text,NA,NA,NA
1,3,NA,0.5,0.5,NA,NA,9,NA,Some text,NA,NA,NA
1,4,NA,0.5,0.5,NA,NA,2,NA,Some text,NA,NA,NA
1,4,NA,0.5,0.5,NA,NA,3,NA,Some text,NA,NA,NA
1,4,NA,0.5,0.5,NA,NA,4,NA,Some text,NA,NA,NA
1,4,NA,0.5,0.5,NA,NA,5,NA,Some text,NA,NA,NA
1,4,NA,0.5,0.5,NA,NA,6,NA,Some text,NA,NA,NA
1,4,NA,0.5,0.5,NA,NA,7,NA,Some text,NA,NA,NA
1,4,NA,0.5,0.5,NA,NA,8,NA,Some text,NA,NA,NA
3,5,NA,0.5,0.5,NA,NA,2,NA,Some text,NA,NA,NA
3,5,NA,0.5,0.5,NA,NA,3,NA,Some text,NA,NA,NA
3,5,NA,0.5,0.5,NA,NA,10,NA,Some text,NA,NA,NA
4,5,NA,0.5,0.5,NA,NA,2,NA,Some text,NA,NA,NA
4,5,NA,0.5,0.5,NA,NA,3,NA,Some text,NA,NA,NA
4,5,NA,0.5,0.5,NA,NA,4,NA,Some text,NA,NA,NA
4,5,NA,0.5,0.5,NA,NA,5,NA,Some text,NA,NA,NA
4,5,NA,0.5,0.5,NA,NA,6,NA,Some text,NA,NA,NA
4,5,NA,0.5,0.5,NA,NA,7,NA,Some text,NA,NA,NA
4,5,NA,0.5,0.5,NA,NA,8,NA,Some text,NA,NA,NA
4,5,NA,0.5,0.5,NA,NA,9,NA,Some text,NA,NA,NA
4,5,NA,0.5,0.5,NA,NA,10,NA,Some text,NA,NA,NA
4,3,NA,0.5,0.5,NA,NA,1,NA,Some text,NA,NA,NA
