from,to,label,strength,trust,statement,quote,arrows.middle.enabled,full.quote,combo.type,definition.type,sensitivity,specificity,package,packageNote
1,13,NA,0.5,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,13,NA,0.5,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,13,NA,0.5,0.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,13,NA,0.5,0.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,13,NA,0.5,0.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,13,NA,0.5,0.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,13,NA,0.5,0.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,11,NA,0.5,0.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,11,NA,0.5,0.5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,11,NA,0.5,0.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,11,NA,0.5,0.5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,11,NA,0.5,0.5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,11,NA,0.5,0.5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,11,NA,0.5,0.5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,11,NA,0.5,0.5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,11,NA,0.5,0.5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,11,NA,0.5,0.5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,11,NA,0.5,0.5,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,11,NA,0.5,0.5,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,11,NA,0.5,0.5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,11,NA,0.5,0.5,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,11,NA,0.5,0.5,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,11,NA,0.5,0.5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,11,NA,0.5,0.5,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,11,NA,0.5,0.5,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,11,NA,0.5,0.5,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,11,NA,0.5,0.5,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,11,NA,0.5,0.5,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,11,NA,0.5,0.5,29,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,11,NA,0.5,0.5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,11,NA,0.5,0.5,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,11,NA,0.5,0.5,32,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,11,NA,0.5,0.5,33,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,11,NA,0.5,0.5,34,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,11,NA,0.5,0.5,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,11,NA,0.5,0.5,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,11,NA,0.5,0.5,37,NA,NA,NA,NA,NA,NA,NA,NA,NA
