text,female,key2,key3,key4,key5,key6,key7,statement,source__id
"The populations of Clevedon, Yatton, Wrington, Winscombe etc are all growing steadily. Many more people are using bicycles to commute and with no clear plans for road expansions its obvious that the Strawberry Line has huge potential to connect neighbouring communities with transport links. Id also love to see it extended out to Wrington along the old disused line.",0,NA,NA,NA,NA,NA,NA,1,1
"Cycling is healthy and bus links not good between Clevedon & Yatton. The roads are also not always safe to cycle, particularly for children, so its well worth extending the Strawberry line to Clevedon",0,NA,NA,NA,NA,NA,NA,2,1
"Clevedon is a town that is dying we have no way for people to walk safely to our town and Clevedon people have no safe way to walk to our local towns. Everytime you walk to yatton you take your life in your hands, no pavements no Street lights. It is unacceptable that we cant travel to yatton and our other nearby towns. We dont all or can afford cars the public transport is being cut all the time. We need safe routes for just walkers and cyclists. Its long over due. Clevedon hadnt had the injection of cash or town face lifts like yatton, Weston, Nailsea and portishead. We need safe routes.",1,NA,NA,NA,NA,NA,NA,3,2
"As an active cyclist I frequently use the Strawberry Line along with thousands of others. Extending to Clevedon would bring a greater footfall to this delightful town and encourage more people to take healthy pursuits such as walking and cycling. I would also like to see it extended to Wells so that it becomes a strategic link in the cycle network encouraging more people to get out and exercise along safe and pleasant cycle tracks. With an ageing population, its vital to do all we can to keep people healthy and active and involved in social activity.",0,NA,NA,NA,NA,NA,NA,4,2
"The Strawberry line would be a good cycle path for me to use in a safe way to get from Clevedon to Yatton without using our car or the local bus,.",1,NA,NA,NA,NA,NA,NA,5,3
It is to dangerous to get my kids from Clevedon to the Strawberry line by road so this would be amazing to have a direct link. Wr would use it several times per week,0,NA,NA,NA,NA,NA,NA,6,3
"To keep cyclists safe, to reduce the delays caused to motorists when they are behind a cyclist. To reduce cyclists inhaling car emissions - which will reduce respiratory issues. Provide social prescription of green spaces which are safer and beneficial to the cyclist",1,NA,NA,NA,NA,NA,NA,7,3
Its necessary for a healthy and safe transport facility between the 2 towns. Larger numbers of people are moving to the area so recreational activities need to match the increase.. More cycling/walking visitors will add additional income to local businesses.. An long term investment that benefits all the local communities. Yes please!,1,NA,NA,NA,NA,NA,NA,8,4
I would love the ability to cycle with my family to Clevedon for both pleasure (eg swimming in Marine Lake a or playing on beach). When I have things to do in Clevedon when taking the car is more hassle than its worth. But has to be taken as no safe way of cycling there.. The B3133 is not safe for cyclists. Ive seen them being forced off the road by impatient drivers. I wouldnt take my family on it.,1,NA,NA,NA,NA,NA,NA,9,5
Cycle for health. Enjoy nature for my wellbeing. Family activities. This would be a jewel in the crown for beautiful Clevedon.,1,NA,NA,NA,NA,NA,NA,10,6
"So I could cycle or walk to Yatton and catch the train from therefore places like Bristol, Bath, Exeter and Cardiff to save driving. Also so we could safely cycle the whole Strawberry line to Cheddar",1,NA,NA,NA,NA,NA,NA,11,7
"We have several friends in Yatton and often cycle the strawberry line from there. Currently, we have to transport our bikes from Clevedon to Yatton using our car. It would be much more convenient to cycle directly from here.",0,NA,NA,NA,NA,NA,NA,12,8
"My husband likes to cycle as much as he can - to keep fit and stay mobile . He often goes to Yatton but he drives when he does so because that road between the two towns is LETHAL to cyclists . He would be very happy if there was a dedicated cycle way to use, - he makes good use of the section of the cycleway from Yatton going south where it is completely safe from vehicular traffic.",1,NA,NA,NA,NA,NA,NA,13,9
"There are not that many safe roads for cycling around Clevedon, especially with young children. This extension to the strawberry line would connect Clevedon with a many cycle friendly routes in and around the mendips and encourage a love of cycling in the young, keeping them exercised, fit and healthy, and hence less of a burden on the NHS in the future. These habits are established young, so please support this project.",0,NA,NA,NA,NA,NA,NA,14,10
Fitness / safety / family time / no xbox / future cycling stars / fighting obesity/ North So reset cycle network / zero emissions / our environment/ our kids future / fun !,0,NA,NA,NA,NA,NA,NA,15,11
"I have walked between Clevedon and Yatton - one of the most scary walks in my life. Long sections are without any footpath and the road is heavily used. When using a car on the same journey, the presence of blind corners and narrow sections mean that to safely overtake cyclists is difficult and dangerous for them and me.",0,NA,NA,NA,NA,NA,NA,16,12
My bother live in yatton. And I live in clevedon. I would never walk/ cycle to yatton from clevedon just because the road is too busy. And same for my bother. He wouldnt dream of taking his baby onto the road. So having the line would be great. Im sure there will be lots of help opening it up. I would even help for free. Even if I had to use my own digger. Would love this to happen and everyone come together and help.,0,NA,NA,NA,NA,NA,NA,17,13
"The path opens up a safe way for people, families and friends to explore the countryside in he area and will help local economies by bringing in people. Places like the forest of dean and many places in south wales have seen a Surge in spending in places that have increased biking.",0,NA,NA,NA,NA,NA,NA,18,14
"Im aiming to bring up my kids feeling that exercise should be a normal part of their lives, and being able to use the Strawberry Line allows us to start that process in beautiful countryside, protected from motor vehicles. An extension would maintain their interest by giving us a further destination as well as supporting longer rides. Please extend!",0,NA,NA,NA,NA,NA,NA,19,15
Chance to use the line without risking life and limb to get to the start point in Yatton.---,1,NA,NA,NA,NA,NA,NA,20,16
I would take the opportunity to cycle rather than use a car.,NA,NA,NA,NA,NA,NA,NA,21,17
"I often cycle from Cheddar to Yatton, extending it would be amazing, I could get to the coast!",NA,NA,NA,NA,NA,NA,NA,22,18
regularly cycle to yatton and clevedon using strawberry where available. less so Clevedon due to lack of Strawberry line continuation,0,NA,NA,NA,NA,NA,NA,23,19
As a keen leisure cyclists I feel it is important that cyclists and pedestrians are kept safe and away from traffic as much as possible.,1,NA,NA,NA,NA,NA,NA,24,20
For safe family access to the facilities and employment in Clevedon to reduce our car dependence and increase the opportunity we have to cycle regularly. Reduce road congestion into Yatton for train commuters.,NA,NA,NA,NA,NA,NA,NA,25,21
So we can get to the sea side without having to get in the car,1,NA,NA,NA,NA,NA,NA,26,22
"Its a lovely area for walking our Labrador, who meets lots of other dogs and their owners. The bird life is amazing and children benefit from observing them and nature as a whole.  A perfect environment for a fitness regime or just a casual stroll.",1,NA,NA,NA,NA,NA,NA,27,23
The extension of the Strawberry Line would provide a safer way for me and loads of other people to safely try to get fit!,1,NA,NA,NA,NA,NA,NA,28,24
We recently bought a new puppy cocker spaniel who is full of life and energy.   We regularly walk her from Sandford to Axbridge.  As she grows older it would be amazing to have the safe walk extended to Clevedon.  Having the Strawberry Line on our doorstep makes such a difference to all the family who often use the cycle path.,1,NA,NA,NA,NA,NA,NA,29,25
"I know many people who would cycle rather than drive if the strawberry line was extended.However, please, please consider turning the whole route into a bridle way too. Horses would not damage or hinder cyclists and walkers, and they desperately need more off road routes.  Children using the route would love to meet the occasional horse and as to the mess, horse poo is just compost, nothing like the foul dog poo which some owners fail to pick up. I am a horse, dog and bicycle owner by the way.",1,NA,NA,NA,NA,NA,NA,30,26
"Being a keen cyclist myself who uses the Strawberry line regularly, it would be great to extend it to Clevedon. It is in everyones interest cyclists, walkers, runners. From a personal point of view it would be fantastic to get this project sorted so that we can enjoy a safe environment for our three grand children. It can only be a massive health bonus and encourage the next generation into the great outdoors.",0,NA,NA,NA,NA,NA,NA,31,27
"I am not a resident of either town, but as a non driver who walks everywhere, I realise the importance of having a safe and enjoyable route to take for all people in my position.",1,NA,NA,NA,NA,NA,NA,32,28
"Ive lived in the area for over 20 years and have walked and cycled with all of my children (& dogs) along the current Strawberry line throughout that time. Now some of them live in Clevedon, it would be fabulous to be able to extend that safe and beautiful walk/cycle ride to see them - and to create a safe place for the be t generation to enjoy the same pleasures!",1,NA,NA,NA,NA,NA,NA,33,29
To commute to Yatton and not use the main r,NA,NA,NA,NA,NA,NA,NA,34,30
We do our best to keep active and cycling is our preferred way of doing this.  We love to cycle and the Strawberry Line allows us to do this in a safe environment with no cars.  We currently live in Clevedon so to have the route extended from Yatton to Clevedon would be great.,0,NA,NA,NA,NA,NA,NA,35,31
"In 2018, I chose to cycle a selection of routes with my 4 year old daughter, starting in Cornwall and heading east, to Devon and then Somerset.<br /><br />When I found out about the strawberry line, I was excited as it was another suitable path I could use to get to an attraction (Cheddar gorge) which I did.  If I could have started from Clevedon, I would have instead of staying elsewhere and driving to Yatton.  Making suitable family friendly paths would help attract tourists (as well as assisting locals).",0,NA,NA,NA,NA,NA,NA,36,32
Otherwise I would use my car for a journey that could be done by bike.,NA,NA,NA,NA,NA,NA,NA,37,33
The road to Yatton and back from Clevedon is very bendy and is not safe to walk or cycle. A good path would get us out more and being away from the traffic would be safer and have less pollution.,0,NA,NA,NA,NA,NA,NA,38,34
"I live in Clevedon but frequently drive to Yatton either to station or shops. Due to infrequent bus services and poor condition of roads and bust traffic of lorries, etc this dangerous route for cyclists. A cyclist path from Yatton to Clevedon would encourage me, and family to cycle more since the route would be safe and reliable.",0,NA,NA,NA,NA,NA,NA,39,35
Because the road is busy & dangerous,NA,NA,NA,NA,NA,NA,NA,40,36
"More options to explore our home areas and visit friends and family in Yatton without the car!!   Exercise, fresh air, safe for children and adults. Local shopping and spending in local establishments will of course make a huge difference and independent businesses can only flourish!",1,NA,NA,NA,NA,NA,NA,41,37
"I have two young children and I loath this electronic generation! However we are seriously lacking in safe cycle routes to enable us to go out as a family for weekend bike rides. As a busy full time working mum I look forward to my family time and would absolutely love to be able to take my children out at weekends for fresh air, exercise and quality family time but where I can keep them safe and off the dangerous roads.",1,NA,NA,NA,NA,NA,NA,42,38
We recently moved from Clevedon to Yatton on to the new chestnut development. However both my sons attend Clevedon school and have cycled to school since the day they started there. Since moving this hasnt been an adoption because of the busy main road that carrys large HGVs and cars use it like a race track. It would be so important to have a footpath/versatile path that links the two towns together and enables families to walk to the beach or to the next major town without having to use the car.,NA,NA,NA,NA,NA,NA,NA,43,39
Exercise and family fun for our whole family. Good for wildlife.,NA,NA,NA,NA,NA,NA,NA,44,40
"My Grandchildren live in Clevedon and it would be great for them to have a safe place to cycle,.  it would also be a tourist attraction in the area and benefit so many",1,NA,NA,NA,NA,NA,NA,45,41
"We make good use of the Strawberry line currently from Yatton to Congresbury and beyond. We make frequent trips to Clevedon for leisure, but currently have to go by car. We would use the extension for exercise; walking and cycling. We have friends in Kingston Seymour and the extension would provide a safe route to access KS and Kenn. It would cut down our car usage considerably and improve quality of life for all along the route.",1,NA,NA,NA,NA,NA,NA,46,42
